paradigm,window,subject,fold,model,method,label_source,sample_idx,class_idx,runtime_seconds,hardware,score_type,n_samples_timed,partition_id,n_partitions,method_params
MI,2.5-5,43,1,tgarnet,Occlusion,y_test,27,1,0.5213568799999848,NVIDIA T4 GPU,logits,20,,,"{'fs': 128, 'window_seconds': 1.0, 'stride_seconds': 0.25, 'baseline_value': None, 'background_size': 30, 'occ_batch_size': 256, 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,Occlusion,y_test,29,1,0.4911889390000397,NVIDIA T4 GPU,logits,20,,,"{'fs': 128, 'window_seconds': 1.0, 'stride_seconds': 0.25, 'baseline_value': None, 'background_size': 30, 'occ_batch_size': 256, 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,Occlusion,y_test,30,1,0.5118705959998806,NVIDIA T4 GPU,logits,20,,,"{'fs': 128, 'window_seconds': 1.0, 'stride_seconds': 0.25, 'baseline_value': None, 'background_size': 30, 'occ_batch_size': 256, 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,Occlusion,y_test,32,1,0.4798769629999242,NVIDIA T4 GPU,logits,20,,,"{'fs': 128, 'window_seconds': 1.0, 'stride_seconds': 0.25, 'baseline_value': None, 'background_size': 30, 'occ_batch_size': 256, 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,Occlusion,y_test,35,0,0.4986594199999672,NVIDIA T4 GPU,logits,20,,,"{'fs': 128, 'window_seconds': 1.0, 'stride_seconds': 0.25, 'baseline_value': None, 'background_size': 30, 'occ_batch_size': 256, 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,Occlusion,y_test,38,1,0.7194939969999723,NVIDIA T4 GPU,logits,20,,,"{'fs': 128, 'window_seconds': 1.0, 'stride_seconds': 0.25, 'baseline_value': None, 'background_size': 30, 'occ_batch_size': 256, 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,Occlusion,y_test,39,1,0.7067627589999574,NVIDIA T4 GPU,logits,20,,,"{'fs': 128, 'window_seconds': 1.0, 'stride_seconds': 0.25, 'baseline_value': None, 'background_size': 30, 'occ_batch_size': 256, 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,IntegratedGradients,y_test,0,0,2.0497829690000344,NVIDIA T4 GPU,logits,20,,,"{'baseline': None, 'background_size': 30, 'steps': 50, 'batch_size': 1, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,IntegratedGradients,y_test,1,0,0.21617601599996306,NVIDIA T4 GPU,logits,20,,,"{'baseline': None, 'background_size': 30, 'steps': 50, 'batch_size': 1, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,IntegratedGradients,y_test,3,0,0.20797596899978998,NVIDIA T4 GPU,logits,20,,,"{'baseline': None, 'background_size': 30, 'steps': 50, 'batch_size': 1, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,IntegratedGradients,y_test,7,1,0.22369367800001783,NVIDIA T4 GPU,logits,20,,,"{'baseline': None, 'background_size': 30, 'steps': 50, 'batch_size': 1, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,IntegratedGradients,y_test,9,0,0.21243810800001484,NVIDIA T4 GPU,logits,20,,,"{'baseline': None, 'background_size': 30, 'steps': 50, 'batch_size': 1, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,IntegratedGradients,y_test,11,0,0.21039123700006712,NVIDIA T4 GPU,logits,20,,,"{'baseline': None, 'background_size': 30, 'steps': 50, 'batch_size': 1, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,IntegratedGradients,y_test,12,0,0.22438599699989936,NVIDIA T4 GPU,logits,20,,,"{'baseline': None, 'background_size': 30, 'steps': 50, 'batch_size': 1, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,IntegratedGradients,y_test,14,1,0.20813109999994595,NVIDIA T4 GPU,logits,20,,,"{'baseline': None, 'background_size': 30, 'steps': 50, 'batch_size': 1, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,IntegratedGradients,y_test,17,0,0.21013707699989936,NVIDIA T4 GPU,logits,20,,,"{'baseline': None, 'background_size': 30, 'steps': 50, 'batch_size': 1, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,IntegratedGradients,y_test,18,0,0.21005334599999514,NVIDIA T4 GPU,logits,20,,,"{'baseline': None, 'background_size': 30, 'steps': 50, 'batch_size': 1, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,IntegratedGradients,y_test,19,0,0.21081624499993268,NVIDIA T4 GPU,logits,20,,,"{'baseline': None, 'background_size': 30, 'steps': 50, 'batch_size': 1, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,IntegratedGradients,y_test,23,1,0.22603327299998455,NVIDIA T4 GPU,logits,20,,,"{'baseline': None, 'background_size': 30, 'steps': 50, 'batch_size': 1, 'random_state': 42}"
