window,model,subject,n_folds,seed,mean_accuracy,std_accuracy,mean_recall,std_recall,mean_precision,std_precision,mean_kappa,std_kappa,mean_auc,std_auc
0-7,shallowconvnet,2,5,42,0.49499999999999994,0.10216408370851277,0.49499999999999994,0.10216408370851277,0.4917026512633257,0.10759493878201554,-0.010000000000000009,0.20432816741702553,0.5125000000000001,0.13471033739101096
0-7,shallowconvnet,3,5,42,0.9949999999999999,0.011180339887498959,0.9949999999999999,0.011180339887498959,0.9952380952380953,0.01064794274999901,0.99,0.022360679774997918,1.0,0.0
0-7,shallowconvnet,4,5,42,0.89,0.06274950199005565,0.89,0.06274950199005563,0.9005015452383874,0.05390497873893752,0.78,0.12549900398011132,0.9469999999999998,0.03402205167240803
0-7,shallowconvnet,5,5,42,0.9600000000000002,0.02850438562747844,0.9600000000000002,0.02850438562747844,0.9640127987954076,0.024884933719221864,0.9199999999999999,0.057008771254956896,0.982,0.02146217603133475
0-7,shallowconvnet,6,5,42,0.7812698412698412,0.09227124888678069,0.7709868421052631,0.09121201017334006,0.8028836903836905,0.09958243057896779,0.5513913022068776,0.18586191937813853,0.8982894736842104,0.08027744695930926
0-7,shallowconvnet,7,5,42,0.525,0.05863019699779288,0.525,0.05863019699779288,0.5254291979949874,0.05996134827394129,0.050000000000000024,0.1172603939955857,0.5415,0.08614304963257335
0-7,shallowconvnet,8,5,42,0.5046153846153846,0.047872213751206025,0.5042105263157894,0.04782673020271884,0.5043849206349206,0.04854265101561806,0.008453943257092833,0.09555429934429012,0.5625,0.03731359488016248
0-7,shallowconvnet,9,5,42,0.705,0.10216408370851274,0.705,0.10216408370851277,0.7087023786700728,0.10287316747085724,0.41,0.20432816741702547,0.776,0.11990360711838491
0-7,shallowconvnet,10,5,42,0.8850000000000001,0.051841103383319306,0.8850000000000001,0.051841103383319306,0.8964727195225917,0.05137947006451592,0.7700000000000001,0.10368220676663861,0.9435,0.0693856973734501
0-7,shallowconvnet,11,5,42,0.49000000000000005,0.09617692030835671,0.49000000000000005,0.0961769203083567,0.49024535443468,0.1061180463351857,-0.019999999999999997,0.19235384061671343,0.4887499999999999,0.10430574049399195
0-7,shallowconvnet,12,5,42,0.7184873949579832,0.054271663504092536,0.7189542483660131,0.05233861888250646,0.7244854784018872,0.055737322557630656,0.43767598040839795,0.10647840118988408,0.7709342560553634,0.08685845676614866
0-7,shallowconvnet,13,5,42,0.905,0.05419870847169701,0.905,0.05419870847169701,0.9110887056438275,0.05177481757530372,0.8100000000000002,0.10839741694339397,0.9710000000000001,0.017818529681205505
0-7,shallowconvnet,14,5,42,0.9800000000000001,0.020916500663351906,0.9800000000000001,0.020916500663351906,0.9804761904761905,0.020783955088376396,0.96,0.04183300132670378,0.9994999999999999,0.0011180339887499207
0-7,shallowconvnet,15,5,42,0.6587044534412956,0.14303592730565456,0.6571345029239766,0.14216381335381126,0.6624557076835311,0.14834220161006875,0.3155093616393926,0.2855013495107836,0.6753447214527546,0.18687686071875081
0-7,shallowconvnet,16,5,42,0.4723076923076923,0.05337361336419239,0.4742105263157894,0.053062381622862594,0.4659754901960785,0.05784484668461109,-0.051354838709677456,0.10610927357986293,0.46218421052631575,0.05936586713548385
0-7,shallowconvnet,17,5,42,0.5250000000000001,0.04677071733467426,0.525,0.04677071733467428,0.528369199388866,0.054210536703950214,0.05,0.09354143466934857,0.5155000000000001,0.11359742514687557
0-7,shallowconvnet,18,5,42,0.6799999999999999,0.04472135954999578,0.6799999999999999,0.04472135954999585,0.6888103232369179,0.03879751956021685,0.36,0.08944271909999156,0.732,0.05194347889774036
0-7,shallowconvnet,19,5,42,0.5807881773399014,0.037613022992750905,0.5473510558069382,0.029871908750563083,0.5986495726495725,0.11889648325637184,0.10052082979593543,0.06563418236052522,0.5789121417797889,0.10020052951093915
0-7,shallowconvnet,20,5,42,0.6625,0.03312905978255533,0.5778787878787879,0.06200654605686937,0.6115312791783379,0.18757011479635993,0.16642349825448416,0.12408382144887807,0.6363636363636364,0.09601208027758092
0-7,shallowconvnet,21,5,42,0.5128205128205128,0.06526352537907118,0.5126315789473684,0.06507905910135767,0.5127250234397899,0.06568419126340538,0.025296442687747046,0.13019043767985553,0.5507894736842105,0.06118074410101154
0-7,shallowconvnet,22,5,42,0.7100000000000001,0.13299436078270388,0.7100000000000001,0.13299436078270388,0.7102255639097744,0.13305009417793182,0.41999999999999993,0.2659887215654077,0.7974999999999999,0.1622209141880294
0-7,shallowconvnet,23,5,42,0.9593589743589744,0.022905345060643352,0.96,0.022360679774997873,0.9625108225108227,0.01939444065330878,0.9188322428755707,0.04562223954221076,0.9964210526315791,0.0042006463029968235
0-7,shallowconvnet,24,5,42,0.7133333333333333,0.026087459737497553,0.7128947368421054,0.02706819130657641,0.7191517845124319,0.02806650985996344,0.4260501981505945,0.05355338498292097,0.7903684210526316,0.0325357250910782
0-7,shallowconvnet,25,5,42,0.5406410256410256,0.07584121705123992,0.54,0.07352308511155749,0.5422694057860298,0.08293537818580454,0.08060461762666211,0.14677028183086818,0.5519342105263159,0.04887373316648533
0-7,shallowconvnet,26,5,42,0.8300000000000001,0.03259601202601322,0.8300000000000001,0.03259601202601322,0.833101371191289,0.03428015241298535,0.6599999999999999,0.0651920240520265,0.8755,0.06225953742198863
0-7,shallowconvnet,27,5,42,0.49729729729729727,0.040988515913792156,0.4988235294117647,0.03938526369936827,0.49830910031996983,0.04126944783694318,-0.002151688878801483,0.07830060989707265,0.5219177846577228,0.045871342799092905
0-7,shallowconvnet,28,5,42,0.7956410256410257,0.09474870740142387,0.796578947368421,0.0927076168179642,0.8132161460800565,0.0822416955309807,0.5925432328459476,0.1872729531799577,0.8769736842105263,0.07252674069847266
0-7,shallowconvnet,30,5,42,0.5326666666666667,0.10399385665616129,0.5301282051282051,0.10362531916409531,0.5345179738562091,0.10800362104588476,0.0606396839406548,0.20768628691343297,0.4982905982905983,0.06202725917396389
0-7,shallowconvnet,31,5,42,0.5326923076923077,0.04475029337776958,0.5328947368421053,0.04478519059241447,0.5328966063923662,0.045067548070193135,0.06574803149606301,0.08956281897638713,0.5556052631578948,0.04755906445871664
0-7,shallowconvnet,32,5,42,0.555,0.06708203932499368,0.555,0.06708203932499368,0.5503720000759473,0.0790912403273576,0.10999999999999996,0.13416407864998742,0.5589999999999999,0.09071934744033379
0-7,shallowconvnet,33,5,42,0.5221794871794871,0.0632939382302882,0.523157894736842,0.06164301660240903,0.5270212233823848,0.07262303529178026,0.04656249999999999,0.12287450724723174,0.5738157894736842,0.07410722092958162
0-7,shallowconvnet,35,5,42,0.8800000000000001,0.03259601202601327,0.8800000000000001,0.032596012026013255,0.895860856979278,0.022918779012921425,0.76,0.06519202405202651,0.9674999999999999,0.023116552511133655
0-7,shallowconvnet,36,5,42,0.7076923076923076,0.08229131556862158,0.7076315789473684,0.08187235014002905,0.7105874423134486,0.08123996272961861,0.4152765678572267,0.16427220789160388,0.8157894736842106,0.06618303336820683
0-7,shallowconvnet,37,5,42,0.765,0.0575543221661067,0.765,0.0575543221661067,0.7763878446115287,0.059206362900791974,0.53,0.11510864433221338,0.82975,0.09419229002418406
0-7,shallowconvnet,38,5,42,0.5551956815114709,0.07471223317680105,0.5555263157894736,0.07448112293145284,0.5628429942097373,0.08304187052570478,0.1110298682486032,0.14897793714653676,0.5354570637119113,0.06059141259991107
0-7,shallowconvnet,39,5,42,0.7089743589743589,0.11163328565798894,0.7092105263157895,0.11186145343478665,0.7128688197767146,0.11653455000915207,0.4181102362204724,0.223422161691549,0.765263157894737,0.10286128982565955
0-7,shallowconvnet,40,5,42,0.5850000000000001,0.04541475531146236,0.5850000000000001,0.045414755311462364,0.5872646768436243,0.046956706710070496,0.16999999999999998,0.09082951062292473,0.619,0.06218922736294448
0-7,shallowconvnet,41,5,42,0.9800000000000001,0.02738612787525833,0.9800000000000001,0.02738612787525833,0.9809090909090908,0.0261906550743417,0.96,0.0547722557505166,0.9995,0.0011180339887499207
0-7,shallowconvnet,42,5,42,0.565,0.08403868156985805,0.565,0.08403868156985807,0.6125717907823172,0.11430870574628962,0.12999999999999998,0.16807736313971613,0.5845,0.0705646866357387
0-7,shallowconvnet,43,5,42,0.9949999999999999,0.011180339887498959,0.9949999999999999,0.011180339887498959,0.9952380952380953,0.01064794274999901,0.99,0.022360679774997918,0.999,0.0022360679774997916
0-7,shallowconvnet,44,5,42,0.885,0.028504385627478476,0.8850000000000001,0.028504385627478427,0.8871041239462292,0.028199931425144018,0.7699999999999999,0.05700877125495691,0.951,0.01816590212458492
0-7,shallowconvnet,45,5,42,0.635,0.04183300132670377,0.635,0.04183300132670372,0.6415850231639705,0.04630826914582522,0.27,0.08366600265340758,0.6285000000000001,0.03214226189925033
0-7,shallowconvnet,46,5,42,0.6432051282051282,0.08905712731929002,0.6431578947368422,0.08905863486048556,0.6501281400432026,0.0883431225047894,0.2863157894736842,0.17811726972097117,0.6630263157894737,0.07304065767180762
0-7,shallowconvnet,47,5,42,0.7762483130904183,0.037601362150817524,0.7748830409356724,0.039922775648215524,0.79647315680891,0.014910191023992797,0.5507815699924468,0.0778484523664961,0.8636026469682978,0.02683713365958721
0-7,shallowconvnet,48,5,42,0.8843589743589743,0.028819788520874058,0.8844736842105263,0.028758354199920556,0.893727120832384,0.030343421676336562,0.7687516425755584,0.05762126215658477,0.952921052631579,0.05332896522393765
0-7,shallowconvnet,49,5,42,0.8538461538461538,0.036507778988609116,0.8564619883040935,0.03222024542603788,0.867272815457228,0.02214321279996613,0.7092829017637508,0.07016150770948486,0.9263157894736842,0.02154065009967424
0-7,shallowconvnet,50,5,42,0.97,0.032596012026013234,0.97,0.032596012026013234,0.970451127819549,0.03227837636980013,0.9400000000000001,0.0651920240520265,0.993,0.009585144756340386
