data_fold,paradigm,window,model,method,subject,fold,percentage_removed,MoRF_score_mean,MoRF_score_std,LeRF_score_mean,LeRF_score_std,ROAD_score_gap_mean,ROAD_score_gap_std,n_samples
,MI,0-7,shallowconvnet,GradCAM++,14.0,4,10.0,0.97930096834898,0.03336193849092891,0.9514973752200604,0.09850829674207474,-0.027803593128919602,0.08710530092789279,40
,MI,0-7,shallowconvnet,GradCAM++,14.0,4,20.0,0.9636351063847541,0.05500481653658767,0.9514973752200604,0.09850829674207474,-0.012137731164693832,0.08461550590672999,40
,MI,0-7,shallowconvnet,GradCAM++,14.0,4,30.0,0.9475457116961479,0.07328654284999431,0.9514973752200604,0.09850829674207474,0.00395166352391243,0.07660706102575986,40
,MI,0-7,shallowconvnet,GradCAM++,14.0,4,50.0,0.9264851108193397,0.11048826170102523,0.9419276922941208,0.10680176146575436,0.015442581474781036,0.10383702788169565,40
,MI,0-7,shallowconvnet,GradCAM++,14.0,4,70.0,0.5,0.5063696835418332,0.9360450759530068,0.1131687819615089,0.43604507595300673,0.5107246919829673,40
,MI,0-7,shallowconvnet,GradCAM++,14.0,4,90.0,0.5,0.5063696835418332,0.9137660689651966,0.15965085481273106,0.41376606896519663,0.4839508256859943,40
,MI,0-7,shallowconvnet,GradCAM++,14.0,4,100.0,0.5,0.5063696835418332,0.5,0.5063696835418332,0.0,0.0,40
,MI,0-7,shallowconvnet,IntegratedGradients,12.0,5,0.0,0.9169157550615423,0.12929746467361977,0.9169157550615423,0.12929746467361977,0.0,0.0,34
,MI,0-7,shallowconvnet,IntegratedGradients,12.0,5,1.0,0.5066961247254821,0.35572553078846286,0.995165674125447,0.01019428377797073,0.48846954939996495,0.3507531863684858,34
,MI,0-7,shallowconvnet,IntegratedGradients,12.0,5,2.0,0.27211770424893233,0.3427399992362933,0.9991472205694985,0.0016445742620551822,0.727029516320566,0.34219241710522685,34
,MI,0-7,shallowconvnet,IntegratedGradients,12.0,5,5.0,0.03045299969455621,0.0709294703852635,0.9999521357171676,9.142299162289905e-05,0.9694991360226114,0.07091160744651633,34
,MI,0-7,shallowconvnet,IntegratedGradients,12.0,5,10.0,0.0008586786714078819,0.002172992050926358,0.9999919603852665,2.309936633026552e-05,0.9991332817138586,0.0021703785664800297,34
,MI,0-7,shallowconvnet,IntegratedGradients,12.0,5,20.0,5.440517756470071e-05,0.00017250406723525689,0.999995066839106,1.7757638109030967e-05,0.9999406616615413,0.00017197504925958943,34
,MI,0-7,shallowconvnet,IntegratedGradients,12.0,5,30.0,3.3822066955098674e-05,0.00011911575000744568,0.9999938116354101,2.0632744713028764e-05,0.9999599895684551,0.00011936567799294906,34
,MI,0-7,shallowconvnet,IntegratedGradients,12.0,5,50.0,4.96538622989667e-05,0.00018909725327026597,0.9999855353551752,4.9084224492732366e-05,0.9999358814928764,0.0001925092911699118,34
,MI,0-7,shallowconvnet,IntegratedGradients,12.0,5,70.0,8.763605800507339e-05,0.0003313443911275331,0.999970464145436,0.00010264554313440943,0.9998828280874309,0.0003422023805580672,34
,MI,0-7,shallowconvnet,IntegratedGradients,12.0,5,90.0,0.00037935124836947613,0.0014129877860629392,0.999959013041328,0.0001649039730400367,0.9995796617929585,0.0014190038035698373,34
,MI,0-7,shallowconvnet,IntegratedGradients,12.0,5,100.0,0.5882352941959058,0.4995541683406985,0.5882352941959058,0.4995541683406985,0.0,0.0,34
,MI,0-7,shallowconvnet,IntegratedGradients,14.0,4,0.0,0.9904037982225418,0.024690078617475984,0.9904037982225418,0.024690078617475984,0.0,0.0,40
,MI,0-7,shallowconvnet,IntegratedGradients,14.0,4,1.0,0.495660377270292,0.5003815282743412,0.5342287494488118,0.49026427043283144,0.0385683721785199,0.13570391722404804,40
,MI,0-7,shallowconvnet,IntegratedGradients,14.0,4,2.0,0.4956920474777945,0.501991429277983,0.5138231190539955,0.49648717796749375,0.018131071576200954,0.06502139427487331,40
,MI,0-7,shallowconvnet,IntegratedGradients,14.0,4,5.0,0.49524407883956273,0.5015871109136535,0.5033508001737573,0.5030944815930805,0.00810672133419459,0.012901988166951763,40
,MI,0-7,shallowconvnet,IntegratedGradients,14.0,4,10.0,0.49520489581877386,0.5015360925504309,0.5018932149721878,0.5044615611421618,0.006688319153413858,0.006725037430360068,40
,MI,0-7,shallowconvnet,IntegratedGradients,14.0,4,20.0,0.49630823225412846,0.5026423241146285,0.5012042760259646,0.5051512448514505,0.004896043771836211,0.004618359857126893,40
,MI,0-7,shallowconvnet,IntegratedGradients,14.0,4,30.0,0.49709966748661555,0.5034391385319817,0.5009006170121211,0.5054578480421692,0.003800949525505537,0.003647255029669542,40
,MI,0-7,shallowconvnet,IntegratedGradients,14.0,4,50.0,0.4974606866386052,0.5038041444085044,0.5007275187592313,0.5056325398621048,0.003266832120626084,0.0034014024508689207,40
,MI,0-7,shallowconvnet,IntegratedGradients,14.0,4,70.0,0.49751461744759806,0.5038583432248608,0.5007102888411282,0.5056500747292885,0.0031956713935301197,0.0033014677131395264,40
,MI,0-7,shallowconvnet,IntegratedGradients,14.0,4,90.0,0.49397005472365213,0.5003179630131304,0.5018721437334535,0.5044817723203078,0.007902089009801294,0.009056851398143042,40
,MI,0-7,shallowconvnet,IntegratedGradients,14.0,4,100.0,0.5,0.5063696835418332,0.5,0.5063696835418332,0.0,0.0,40
,MI,0-7,shallowconvnet,KernelSHAP,12.0,5,0.0,0.9169157550615423,0.12929746467361977,0.9169157550615423,0.12929746467361977,0.0,0.0,34
,MI,0-7,shallowconvnet,KernelSHAP,12.0,5,1.0,0.5882352947216479,0.49955416770286654,0.5882352944309948,0.4995541680554879,-2.906531559549877e-10,1.1255510303030353e-09,34
,MI,0-7,shallowconvnet,KernelSHAP,12.0,5,2.0,0.5882352947216479,0.49955416770286654,0.5882352944309948,0.4995541680554879,-2.906531559549877e-10,1.1255510303030353e-09,34
,MI,0-7,shallowconvnet,KernelSHAP,12.0,5,5.0,0.5882352947216479,0.49955416770286654,0.5882352944309948,0.4995541680554879,-2.906531559549877e-10,1.1255510303030353e-09,34
,MI,0-7,shallowconvnet,KernelSHAP,12.0,5,10.0,0.5882352947216479,0.49955416770286654,0.5882352944309948,0.4995541680554879,-2.906531559549877e-10,1.1255510303030353e-09,34
,MI,0-7,shallowconvnet,KernelSHAP,12.0,5,20.0,0.5882352947216479,0.49955416770286654,0.5882352944309948,0.4995541680554879,-2.906531559549877e-10,1.1255510303030353e-09,34
,MI,0-7,shallowconvnet,KernelSHAP,12.0,5,30.0,0.5882352947216479,0.49955416770286654,0.5882352944309948,0.4995541680554879,-2.906531559549877e-10,1.1255510303030353e-09,34
,MI,0-7,shallowconvnet,KernelSHAP,12.0,5,50.0,0.5882352947216479,0.49955416770286654,0.5882352944309948,0.4995541680554879,-2.906531559549877e-10,1.1255510303030353e-09,34
,MI,0-7,shallowconvnet,KernelSHAP,12.0,5,70.0,0.5882352947216479,0.49955416770286654,0.5882352944309948,0.4995541680554879,-2.906531559549877e-10,1.1255510303030353e-09,34
,MI,0-7,shallowconvnet,KernelSHAP,12.0,5,90.0,0.5882352947216479,0.49955416770286654,0.5882352944309948,0.4995541680554879,-2.906531559549877e-10,1.1255510303030353e-09,34
,MI,0-7,shallowconvnet,KernelSHAP,12.0,5,100.0,0.5882352941959058,0.4995541683406985,0.5882352941959058,0.4995541683406985,0.0,0.0,34
